,A69-1008-32,A69-1008-33,A69-1008-34,A69-1008-36,A69-1303-13038,A69-1303-2140,A69-1303-2145,A69-1303-2146,A69-1303-2147,A69-1303-2148,A69-1303-2149,A69-1303-2150,A69-1303-2151,A69-1303-44590,A69-1303-44591,A69-1303-44594,A69-1303-44607,A69-1303-52993,A69-1303-52994,A69-1303-52995,A69-1303-55114,A69-1303-55115,A69-1303-55116,A69-1303-55117,A69-1303-55119,A69-1303-55120,A69-1303-55121,A69-1303-55122,A69-1303-55123,A69-1303-55124,A69-1303-55125,A69-1303-55126,A69-1303-55127,A69-1303-56653,A69-1303-63423,A69-1303-63424,A69-1303-63425,A69-1303-63427,A69-1303-63429,A69-1303-63430,A69-1303-63433,A69-1303-63435,A69-1303-63436,A69-1303-63437,A69-1303-7949,A69-1303-7950,A69-1303-7951,A69-1303-7952,A69-1303-7955,A69-1303-7959,A69-1303-7960,A69-1303-7961,A69-1303-7963,A69-1303-7964,A69-1303-7966,A69-1303-7967,RI
MIBA,0,0.01010101,0.035087719,0.007575758,0,0,0.019607843,0.043478261,0,0.02173913,0,0.006622517,0.047393365,0,0,0,0,0.015873016,0.008196721,0.136363636,0,0.03125,0,0,0.016,0.169491525,0.094890511,0,0.018181818,0.014705882,0.023076923,0.01980198,0.035087719,0.278106509,0,0,0.128205128,0,0.056603774,0.297297297,0.041237113,0,0,0.043010753,0,0.013333333,0,0,0.034782609,0,0.065934066,0.006993007,0,0,0.019900498,0.099009901,0.033195345
MR,0,0,0.140350877,0.159090909,0.366666667,0.071428571,0.411764706,0.156521739,0.097435897,0.086956522,0.026315789,0.013245033,0.061611374,0.125,0.115384615,0,0,0.206349206,0.040983607,0,0.043478261,0.05625,0,0.070175439,0.168,0.228813559,0.02189781,0.020833333,0.018181818,0.117647059,0.338461538,0.158415842,0,0.00591716,0,0.2,0,0.1,0.132075472,0,0.020618557,0.035714286,0.018518519,0.010752688,0.457831325,0.193333333,0.066225166,0.212121212,0.060869565,0.246478873,0.032967033,0.223776224,0.166666667,0.166666667,0.164179104,0.079207921,0.105628213
NE,0,0,0.128654971,0.03030303,0,0.080357143,0.058823529,0,0,0,0.197368421,0.026490066,0.037914692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024096386,0,0,0.060606061,0.034782609,0.014084507,0,0.006993007,0,0,0.019900498,0,0.012863838
NESC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000661376
NIH,0,0,0.01754386,0,0,0.017857143,0.019607843,0,0,0,0.026315789,0.013245033,0.004739336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048192771,0,0,0.03030303,0,0.007042254,0,0,0,0,0,0,0.00330084
NORO,0,0,0.01754386,0.015151515,0,0,0.019607843,0.034782609,0.005128205,0,0,0,0.061611374,0.0625,0.076923077,0.037037037,0.045454545,0,0.016393443,0,0.043478261,0.00625,0.033333333,0,0.04,0.033898305,0.02189781,0.0625,0.024242424,0,0.023076923,0.03960396,0.087719298,0.023668639,0,0.066666667,0.051282051,0.007692308,0.018867925,0,0.030927835,0,0.018518519,0,0,0.006666667,0.013245033,0.03030303,0.034782609,0.007042254,0.054945055,0.055944056,0,0.011111111,0.024875622,0.059405941,0.02364427
NRE,0.009615385,0.01010101,0.029239766,0.015151515,0,0.026785714,0.039215686,0,0,0,0.092105263,0.01986755,0.052132701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012048193,0,0,0.03030303,0.026086957,0.021126761,0,0.006993007,0,0,0.014925373,0,0.007244606
NRN,0,0.01010101,0.035087719,0.007575758,0,0.026785714,0,0,0,0,0.078947368,0.013245033,0.023696682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012048193,0,0,0.03030303,0.026086957,0.014084507,0,0.006993007,0,0,0.019900498,0,0.005443848
NRS,0.009615385,0.01010101,0.076023392,0.022727273,0,0.017857143,0.058823529,0,0,0,0.092105263,0.026490066,0.047393365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024096386,0,0,0.060606061,0.017391304,0.028169014,0,0.006993007,0,0,0.029850746,0,0.00943291
NRW,0.009615385,0,0.134502924,0.03030303,0,0.035714286,0.058823529,0,0,0,0.118421053,0.01986755,0.037914692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024096386,0,0,0.090909091,0.026086957,0.028169014,0,0.006993007,0,0,0.034825871,0,0.011718621
